date,active,inactive,video,image,carousel
2026-09-02,86,1309,86,0,0
2026-09-01,50,1315,50,0,0
2026-08-31,99,1315,99,0,0
2026-08-30,99,1319,99,0,0
2026-08-29,99,1334,99,0,0
2026-08-28,131,1339,131,0,0
2026-08-27,131,1345,131,0,0
2026-08-26,133,1345,133,0,0
2026-08-25,153,1354,153,0,0
2026-08-24,153,1355,153,0,0
2026-08-23,153,1356,153,0,0
2026-08-22,148,1359,148,0,0
2026-08-21,147,1360,147,0,0
2026-08-20,216,1366,216,0,0
2026-08-19,219,1367,219,0,0
2026-08-18,219,1374,219,0,0
2026-08-17,221,1375,219,2,0
2026-08-16,222,1377,220,2,0
2026-08-15,222,1378,220,2,0
2026-08-14,178,1381,139,37,2
2026-08-13,178,1386,139,37,2
2026-08-12,175,1394,137,36,2
2026-08-11,190,1407,149,37,4
2026-08-10,155,1413,144,7,4
2026-08-09,177,1430,163,9,5
2026-08-08,160,1446,152,7,1
2026-08-07,163,1469,152,10,1
2026-08-06,163,1470,152,10,1
2026-08-05,163,1488,152,10,1
2026-08-04,163,1497,152,10,1
2026-08-03,163,1501,152,10,1
